,Unnamed: 0,French,English
0,0,partie,part
1,1,chercher,search
2,2,seulement,only
3,3,police,police
4,4,pensais,thought
5,5,aide,help
6,6,demande,request
7,7,genre,kind
8,8,mois,month
9,9,frère,brother
10,10,laisser,let
11,11,car,because
12,12,mettre,to put
13,13,aucun,no
14,14,laisse,leash
15,15,eux,them
16,16,ville,city
17,17,chaque,each
18,18,parlé,speak
19,19,arrivé,come
20,20,devrait,should
21,21,bébé,baby
22,22,longtemps,long time
23,23,heures,hours
24,24,vont,will
25,25,pendant,while
26,27,aucune,any
27,28,place,square
28,29,parle,speak
29,30,compris,understood
30,31,savais,knew
31,32,étaient,were
32,33,attention,Warning
33,34,voici,here is
34,35,pourrais,could
35,36,affaire,case
36,37,donner,give
37,38,type,type
38,39,donné,given
39,40,train,train
40,41,corps,body
41,42,endroit,place
42,43,yeux,eyes
43,44,façon,way
44,45,écoute,listen
45,46,dont,whose
46,47,trouve,find
47,48,premier,first
48,49,perdu,lost
49,50,main,hand
50,51,première,first
51,53,pouvoir,power
52,54,vieux,old
53,55,sois,be
54,56,tiens,here
55,57,matin,morning
56,58,tellement,so much
57,59,enfant,child
58,60,point,point
59,61,venu,came
60,62,suite,after
61,63,pardon,sorry
62,64,venez,come
63,65,devant,in front of
64,66,minutes,minutes
65,67,demandé,request
66,68,chambre,bedroom
67,69,mis,placed
68,70,belle,beautiful
69,71,droit,law
70,72,aimerais,would like to
71,74,mari,husband
72,75,cause,cause
73,76,enfin,finally
74,77,eau,water
75,78,attendez,Wait
76,79,parti,left
77,80,nouvelle,new
78,81,boulot,job
79,82,arrêter,Stop
80,83,dirait,would say
81,84,terre,Earth
82,85,compte,account
83,86,loin,far
84,88,croire,believe
85,89,chérie,sweetheart
86,90,gros,large
87,91,plutôt,rather
88,92,aura,will have
89,93,filles,girls
90,94,jouer,to play
91,95,bureau,office
